time,TRSCG
2017-01,30139.2
2017-02,27820.8
2017-03,27864
2017-04,27278
2017-05,29459
2017-06,29808
2017-07,29610
2017-08,30330
2017-09,30870
2017-10,34241
2017-11,34108
2017-12,34734
2018-01,31762.54
2018-02,29319.26
2018-03,29194
2018-04,28542
2018-05,30359
2018-06,30842
2018-07,30734
2018-08,31542
2018-09,32005
2018-10,35534
2018-11,35260
2018-12,35893
2019-01,34353.28
2019-02,31710.72
2019-03,31726
2019-04,30586
2019-05,32956
2019-06,33878
2019-07,33073
2019-08,33896
2019-09,34495
2019-10,38104
2019-11,38094
2019-12,38777
