time,output
2008年1月,1096.4003
2008年2月,873.67796
2008年3月,1089.62891
2008年4月,1187.71084
2008年5月,1204.96491
2008年6月,1211.79554
2008年7月,1366.75046
2008年8月,1348.72675
2008年9月,1364.32088
2008年10月,1283.27028
2008年11月,1149.87285
2008年12月,1111.57222
2009年1月,904.536
2009年2月,648.94649
2009年3月,902.90547
2009年4月,919.34722
2009年5月,887.57886
2009年6月,954.11208
2009年7月,1054.2024
2009年8月,1037.07009
2009年9月,1159.37994
2009年10月,1107.62383
2009年11月,1136.53429
2009年12月,1307.23881
2010年1月,1094.75299
2010年2月,945.22714
2010年3月,1121.11793
2010年4月,1199.20666
2010年5月,1317.60663
2010年6月,1373.95578
2010年7月,1455.19322
2010年8月,1393.0223
2010年9月,1449.85285
2010年10月,1359.78419
2010年11月,1533.25762
2010年12月,1541.48895
2011年1月,1507.34151
2011年2月,967.36127
2011年3月,1521.99071
2011年4月,1556.84084
2011年5月,1571.57191
2011年6月,1619.80774
2011年7月,1751.28036
2011年8月,1733.15697
2011年9月,1696.73012
2011年10月,1574.90772
2011年11月,1744.64123
2011年12月,1747.17651
2012年1月,1499.39113
2012年2月,1144.70693
2012年3月,1656.581
2012年4月,1632.51712
2012年5月,1811.40762
2012年6月,1802.0447
2012年7月,1769.40032
2012年8月,1779.73297
2012年9月,1863.49509
2012年10月,1755.71102
2012年11月,1793.80767
2012年12月,1992.29682
2013年1月,1873.65572
2013年2月,1393.67235
2013年3月,1821.89999
2013年4月,1870.61474
2013年5月,1827.66116
2013年6月,1743.15796
2013年7月,1859.91317
2013年8月,1906.08317
2013年9月,1856.43576
2013年10月,1854.05576
2013年11月,2022.04803
2013年12月,2077.42423
2014年1月,2071.32123
2014年2月,1140.93694
2014年3月,1701.07988
2014年4月,1885.40548
2014年5月,1954.7292
2014年6月,1867.88537
2014年7月,2128.91063
2014年8月,2084.65863
2014年9月,2136.87462
2014年10月,2068.66715
2014年11月,2116.62669
2014年12月,2275.12544
2015年1月,2002.58035
2015年2月,1691.90546
2015年3月,1445.68557
2015年4月,1763.30816
2015年5月,1900.57568
2015年6月,1919.75441
2015年7月,1950.9652
2015年8月,1968.68247
2015年9月,2055.54591
2015年10月,1923.95789
2015年11月,1964.63224
2015年12月,2236.83502
2016年1月,1771.85706
2016年2月,1261.44745
2016年3月,1608.13329
2016年4月,1727.57807
2016年5月,1810.59364
2016年6月,1801.83971
2016年7月,1826.42116
2016年8月,1905.92312
2016年9月,1844.98014
2016年10月,1778.6703
2016年11月,1935.46446
2016年12月,2094.17479
2017年1月,1827.52414
2017年2月,1200.78967
2017年3月,1806.00668
2017年4月,1799.88316
2017年5月,1910.14115
2017年6月,1965.90894
2017年7月,1936.01151
2017年8月,1993.42432
2017年9月,1982.31216
2017年10月,1889.7973
2017年11月,2173.82015
2017年12月,2317.96372
2018年1月,2004.91435
2018年2月,1716.16391
2018年3月,1741.21483
2018年4月,2000.35315
2018年5月,2128.69326
2018年6月,2165.97141
2018年7月,2155.65384
2018年8月,2173.72208
2018年9月,2266.86815
2018年10月,2172.83435
2018年11月,2274.45523
2018年12月,2212.49124
2019年1月,2175.66642
2019年2月,1352.0063
2019年3月,1986.5579
2019年4月,1934.8126
2019年5月,2138.45417
2019年6月,2128.35863
