time,TRSCG,,,
2008年1月,9077.30 ,,,
2008年2月,8354.70 ,,,
2008年3月,8123.20 ,,,
2008年4月,8142.00 ,,,
2008年5月,8703.50 ,,,
2008年6月,8642.00 ,,,
2008年7月,8628.80 ,,,
2008年8月,8767.70 ,,,
2008年9月,9446.50 ,,,
2008年10月,10082.70 ,,,
2008年11月,9790.80 ,,,
2008年12月,10728.50 ,,,
2009年1月,10756.60 ,,,
2009年2月,9323.80 ,,,
2009年3月,9317.60 ,,,
2009年4月,9343.20 ,,,
2009年5月,10028.40 ,,,
2009年6月,9941.60 ,,,
2009年7月,9936.50 ,,,
2009年8月,10115.60 ,,,
2009年9月,10912.80 ,,,
2009年10月,11717.60 ,,,
2009年11月,11339.00 ,,,
2009年12月,12610.00 ,,,
2010年1月,12718.10 ,,,
2010年2月,12334.20 ,,,
2010年3月,11321.70 ,,,
2010年4月,11510.40 ,,,
2010年5月,12455.06 ,,,
2010年6月,12329.90 ,,,
2010年7月,12252.80 ,,,
2010年8月,12569.80 ,,,
2010年9月,13536.50 ,,,
2010年10月,14284.80 ,,,
2010年11月,13910.90 ,,,
2010年12月,15329.50 ,,,
2011年1月,15249.00 ,,,
2011年2月,13769.10 ,,,
2011年3月,13588.00 ,,,
2011年4月,13649.00 ,,,
2011年5月,14696.80 ,,,
2011年6月,14565.10 ,,,
2011年7月,14408.00 ,,,
2011年8月,14705.00 ,,,
2011年9月,15865.10 ,,,
2011年10月,16546.40 ,,,
2011年11月,16128.90 ,,,
2011年12月,17739.70 ,,,
2012年1月,17588.20 ,,,
2012年2月,16080.44 ,,,
2012年3月,15650.20 ,,,
2012年4月,15603.10 ,,,
2012年5月,16714.80 ,,,
2012年6月,16584.90 ,,,
2012年7月,16314.90 ,,,
2012年8月,16658.90 ,,,
2012年9月,18227.00 ,,,
2012年10月,18933.80 ,,,
2012年11月,18476.70 ,,,
2012年12月,20334.21 ,,,
2013年1月,19751.52 ,,,
2013年2月,18058.32 ,,,
2013年3月,17641.20 ,,,
2013年4月,17600.00 ,,,
2013年5月,18886.30 ,,,
2013年6月,18826.68 ,,,
2013年7月,18513.16 ,,,
2013年8月,18886.20 ,,,
2013年9月,20653.34 ,,,
2013年10月,21491.30 ,,,
2013年11月,21011.90 ,,,
2013年12月,23059.70 ,,,
2014年1月,22087.06 ,,,
2014年2月,20193.64 ,,,
2014年3月,19800.55 ,,,
2014年4月,19701.20 ,,,
2014年5月,21249.80 ,,,
2014年6月,21166.45 ,,,
2014年7月,20775.79 ,,,
2014年8月,21133.93 ,,,
2014年9月,23042.43 ,,,
2014年10月,23967.24 ,,,
2014年11月,23474.70 ,,,
2014年12月,25801.31 ,,,
2015年1月,25070.86 ,,,
2015年2月,22921.65 ,,,
2015年3月,22722.81 ,,,
2015年4月,22386.71 ,,,
2015年5月,24194.82 ,,,
2015年6月,24280.27 ,,,
2015年7月,24338.78 ,,,
2015年8月,24893.36 ,,,
2015年9月,25270.60 ,,,
2015年10月,28278.89 ,,,
2015年11月,27937.35 ,,,
2015年12月,28635.00 ,,,
2016年1月,27639.71 ,,,
2016年2月,25270.29 ,,,
2016年3月,25114.00 ,,,
2016年4月,24646.00 ,,,
2016年5月,26611.00 ,,,
2016年6月,26857.00 ,,,
2016年7月,26827.00 ,,,
2016年8月,27540.00 ,,,
2016年9月,27976.00 ,,,
2016年10月,31119.00 ,,,
2016年11月,30959.00 ,,,
2016年12月,31757.00 ,,,
2017年1月,30277.79 ,,,
2017年2月,27682.21 ,,,
2017年3月,27864.00 ,,,
2017年4月,27278.00 ,,,
2017年5月,29459.00 ,,,
2017年6月,29808.00 ,,,
2017年7月,29610.00 ,,,
2017年8月,30330.00 ,,,
2017年9月,30870.00 ,,,
2017年10月,34241.00 ,,,
2017年11月,34108.00 ,,,
2017年12月,34734.00 ,,,
2018年1月,31908.69 ,,,
2018年2月,29173.31 ,,,
2018年3月,29194.00 ,,,
2018年4月,28542.00 ,,,
2018年5月,30359.00 ,,,
2018年6月,30842.00 ,,,
2018年7月,30734.00 ,,,
2018年8月,31542.00 ,,,
2018年9月,32005.00 ,,,
2018年10月,35534.00 ,,,
2018年11月,35260.00 ,,,
2018年12月,35893.00 ,,,
2019年1月,34511.25 ,,,
2019年2月,31552.75 ,,,
2019年3月,31726.00 ,,,
2019年4月,30586.00 ,,,
2019年5月,32956.00 ,,,
2019年6月,33878.00 ,,,
